frame,label,score,x1,y1,x2,y2,cx,cy,patch
38,RED,109.73095703125,208,336,272,400,240,368,64
38,RED,92.9966812133789,336,256,400,320,368,288,64
38,GREEN,38.319671630859375,272,288,336,352,304,320,64
38,GREEN,28.672067642211914,272,176,336,240,304,208,64
38,BLUE,77.48661804199219,256,224,320,288,288,256,64
39,RED,108.26766967773438,208,336,272,400,240,368,64
39,RED,90.98588562011719,336,272,400,336,368,304,64
39,GREEN,37.56635284423828,272,288,336,352,304,320,64
39,GREEN,26.868453979492188,272,176,336,240,304,208,64
39,BLUE,74.2857437133789,256,224,320,288,288,256,64
40,RED,107.99115753173828,208,336,272,400,240,368,64
40,RED,91.0079574584961,336,272,400,336,368,304,64
40,GREEN,39.027191162109375,272,288,336,352,304,320,64
40,GREEN,26.890914916992188,272,176,336,240,304,208,64
40,BLUE,73.06669616699219,256,224,320,288,288,256,64
41,RED,107.43217468261719,208,336,272,400,240,368,64
41,RED,89.98417663574219,336,272,400,336,368,304,64
41,GREEN,38.030025482177734,272,288,336,352,304,320,64
41,GREEN,22.99032974243164,272,176,336,240,304,208,64
41,BLUE,68.12543487548828,256,224,320,288,288,256,64
42,RED,107.65585327148438,208,336,272,400,240,368,64
42,RED,88.96757507324219,336,272,400,336,368,304,64
42,GREEN,39.04970169067383,272,288,336,352,304,320,64
42,GREEN,23.032712936401367,272,176,336,240,304,208,64
42,BLUE,66.36083984375,240,224,304,288,272,256,64
43,RED,107.29735565185547,208,336,272,400,240,368,64
43,RED,88.20703125,336,272,400,336,368,304,64
43,GREEN,38.30741882324219,272,288,336,352,304,320,64
43,GREEN,20.498044967651367,272,176,336,240,304,208,64
43,BLUE,62.586326599121094,240,224,304,288,272,256,64
44,RED,107.69393920898438,208,336,272,400,240,368,64
44,RED,87.2103500366211,336,272,400,336,368,304,64
44,GREEN,38.73842239379883,272,288,336,352,304,320,64
44,GREEN,20.49931526184082,272,176,336,240,304,208,64
44,BLUE,61.147361755371094,240,224,304,288,272,256,64
45,RED,107.35424041748047,208,336,272,400,240,368,64
45,RED,85.6930160522461,336,272,400,336,368,304,64
45,GREEN,37.903900146484375,272,288,336,352,304,320,64
45,GREEN,19.045066833496094,272,176,336,240,304,208,64
45,BLUE,54.85224533081055,240,224,304,288,272,256,64
46,RED,107.45956420898438,208,336,272,400,240,368,64
46,RED,84.0838394165039,336,272,400,336,368,304,64
46,GREEN,38.168209075927734,272,288,336,352,304,320,64
46,GREEN,17.938962936401367,272,176,336,240,304,208,64
46,BLUE,52.638572692871094,240,224,304,288,272,256,64
47,RED,106.96649932861328,224,336,288,400,256,368,64
47,RED,82.34906768798828,336,272,400,336,368,304,64
47,GREEN,37.827144622802734,272,288,336,352,304,320,64
47,GREEN,14.91303539276123,272,176,336,240,304,208,64
47,BLUE,50.08320236206055,240,224,304,288,272,256,64
48,RED,107.17294311523438,224,336,288,400,256,368,64
48,RED,80.0975112915039,336,272,400,336,368,304,64
48,GREEN,38.510833740234375,272,288,336,352,304,320,64
48,GREEN,15.365623474121094,272,192,336,256,304,224,64
48,BLUE,49.50790786743164,240,224,304,288,272,256,64
49,RED,107.06523132324219,224,336,288,400,256,368,64
49,RED,78.45771789550781,336,288,400,352,368,320,64
49,GREEN,38.21913528442383,272,288,336,352,304,320,64
49,GREEN,13.58696174621582,272,176,336,240,304,208,64
49,BLUE,46.065818786621094,240,224,304,288,272,256,64
50,RED,107.406494140625,224,336,288,400,256,368,64
50,RED,76.24418640136719,336,288,400,352,368,320,64
50,GREEN,38.942134857177734,272,288,336,352,304,320,64
50,GREEN,13.783201217651367,272,176,336,240,304,208,64
50,BLUE,43.60908126831055,240,224,304,288,272,256,64
51,RED,106.731689453125,224,336,288,400,256,368,64
51,RED,73.9227066040039,336,288,400,352,368,320,64
51,GREEN,37.88495635986328,272,288,336,352,304,320,64
51,GREEN,12.010448455810547,272,176,336,240,304,208,64
51,BLUE,36.88818359375,240,224,304,288,272,256,64
52,RED,106.57373046875,224,336,288,400,256,368,64
52,RED,70.34965515136719,336,288,400,352,368,320,64
52,GREEN,38.357757568359375,272,288,336,352,304,320,64
52,GREEN,11.42011547088623,272,176,336,240,304,208,64
52,BLUE,35.36225509643555,240,224,304,288,272,256,64
53,RED,106.98226928710938,208,336,272,400,240,368,64
53,RED,66.1436538696289,336,288,400,352,368,320,64
53,GREEN,37.71244812011719,272,288,336,352,304,320,64
53,GREEN,11.143651962280273,272,192,336,256,304,224,64
53,BLUE,35.46391677856445,240,224,304,288,272,256,64
54,RED,107.26000213623047,208,336,272,400,240,368,64
54,RED,62.18867111206055,336,272,400,336,368,304,64
54,GREEN,38.739349365234375,272,288,336,352,304,320,64
54,GREEN,11.042576789855957,256,192,320,256,288,224,64
54,BLUE,36.848388671875,240,224,304,288,272,256,64
55,RED,107.3241195678711,224,336,288,400,256,368,64
55,RED,64.5467758178711,128,352,192,416,160,384,64
55,GREEN,38.82899856567383,272,288,336,352,304,320,64
55,GREEN,10.04570198059082,256,192,320,256,288,224,64
55,BLUE,34.30405044555664,240,224,304,288,272,256,64
56,RED,108.40653991699219,208,336,272,400,240,368,64
56,RED,59.76410675048828,640,352,704,416,672,384,64
56,GREEN,39.437103271484375,256,288,320,352,288,320,64
56,GREEN,11.001269340515137,256,192,320,256,288,224,64
56,BLUE,33.130027770996094,240,224,304,288,272,256,64
57,RED,107.6458969116211,208,336,272,400,240,368,64
57,RED,59.64740753173828,640,352,704,416,672,384,64
57,GREEN,37.76552200317383,272,288,336,352,304,320,64
57,GREEN,8.91459846496582,256,176,320,240,288,208,64
57,BLUE,31.836814880371094,240,224,304,288,272,256,64
58,RED,108.2279281616211,208,336,272,400,240,368,64
58,RED,59.79291534423828,640,352,704,416,672,384,64
58,GREEN,39.09965133666992,256,288,320,352,288,320,64
58,GREEN,9.523876190185547,256,176,320,240,288,208,64
58,BLUE,31.36430549621582,240,224,304,288,272,256,64
59,RED,108.00106811523438,208,336,272,400,240,368,64
59,RED,59.60976028442383,640,352,704,416,672,384,64
59,GREEN,38.410884857177734,256,288,320,352,288,320,64
59,GREEN,9.28774356842041,256,192,320,256,288,224,64
59,BLUE,32.07275390625,240,224,304,288,272,256,64
60,RED,108.448974609375,208,336,272,400,240,368,64
60,RED,59.90155792236328,640,352,704,416,672,384,64
60,GREEN,39.54755401611328,256,288,320,352,288,320,64
60,GREEN,9.196043968200684,256,192,320,256,288,224,64
60,BLUE,31.877782821655273,240,224,304,288,272,256,64
61,RED,108.10160827636719,208,336,272,400,240,368,64
61,RED,59.902923583984375,640,352,704,416,672,384,64
61,GREEN,39.25541687011719,256,288,320,352,288,320,64
61,GREEN,8.09145450592041,256,192,320,256,288,224,64
61,BLUE,31.944286346435547,240,224,304,288,272,256,64
62,RED,108.3495101928711,208,336,272,400,240,368,64
62,RED,60.11698913574219,640,352,704,416,672,384,64
62,GREEN,40.11073684692383,256,288,320,352,288,320,64
62,GREEN,8.969969749450684,256,192,320,256,288,224,64
62,BLUE,32.534912109375,240,224,304,288,272,256,64
63,RED,108.07870483398438,208,336,272,400,240,368,64
63,RED,60.12909698486328,640,352,704,416,672,384,64
63,GREEN,39.936519622802734,256,288,320,352,288,320,64
63,GREEN,7.420604705810547,256,176,320,240,288,208,64
63,BLUE,34.053466796875,240,224,304,288,272,256,64
64,RED,108.88241577148438,208,336,272,400,240,368,64
64,RED,60.31401062011719,640,352,704,416,672,384,64
64,GREEN,40.352142333984375,256,288,320,352,288,320,64
64,GREEN,8.404003143310547,256,192,320,256,288,224,64
64,BLUE,34.83188247680664,240,224,304,288,272,256,64
65,RED,108.97309112548828,208,336,272,400,240,368,64
65,RED,60.9033203125,336,272,400,336,368,304,64
65,GREEN,39.73734664916992,256,288,320,352,288,320,64
65,GREEN,7.26772403717041,256,176,320,240,288,208,64
65,BLUE,36.18783950805664,240,224,304,288,272,256,64
66,RED,109.08759307861328,208,336,272,400,240,368,64
66,RED,60.801414489746094,336,272,400,336,368,304,64
66,GREEN,40.111812591552734,256,288,320,352,288,320,64
66,GREEN,7.9949212074279785,256,176,320,240,288,208,64
66,BLUE,36.964111328125,240,224,304,288,272,256,64
67,RED,109.015869140625,208,336,272,400,240,368,64
67,RED,62.44746017456055,352,272,416,336,384,304,64
67,GREEN,39.71576690673828,256,288,320,352,288,320,64
67,GREEN,8.71171760559082,256,176,320,240,288,208,64
67,BLUE,34.99580001831055,240,224,304,288,272,256,64
68,RED,109.263427734375,208,336,272,400,240,368,64
68,RED,65.45097351074219,352,272,416,336,384,304,64
68,GREEN,40.321529388427734,256,288,320,352,288,320,64
68,GREEN,9.353124618530273,256,176,320,240,288,208,64
68,BLUE,34.36435317993164,240,224,304,288,272,256,64
69,RED,107.26860046386719,176,352,240,416,208,384,64
69,RED,68.5867691040039,352,272,416,336,384,304,64
69,GREEN,39.36029815673828,256,288,320,352,288,320,64
69,GREEN,9.07719612121582,256,176,320,240,288,208,64
69,BLUE,31.163524627685547,240,224,304,288,272,256,64
70,RED,108.34613800048828,176,352,240,416,208,384,64
70,RED,69.9215316772461,352,272,416,336,384,304,64
70,GREEN,40.609371185302734,256,288,320,352,288,320,64
70,GREEN,9.29995059967041,256,176,320,240,288,208,64
70,BLUE,28.957225799560547,240,224,304,288,272,256,64
71,RED,108.44696807861328,176,352,240,416,208,384,64
71,RED,72.1031723022461,352,272,416,336,384,304,64
71,GREEN,39.757320404052734,256,288,320,352,288,320,64
71,GREEN,7.623729705810547,256,176,320,240,288,208,64
71,BLUE,25.90800666809082,240,224,304,288,272,256,64
72,RED,109.63593292236328,176,352,240,416,208,384,64
72,RED,74.06034851074219,352,272,416,336,384,304,64
72,GREEN,40.882076263427734,256,288,320,352,288,320,64
72,GREEN,7.957226276397705,256,176,320,240,288,208,64
72,BLUE,23.84814453125,240,224,304,288,272,256,64
73,RED,108.64911651611328,176,352,240,416,208,384,64
73,RED,76.78373718261719,352,272,416,336,384,304,64
73,GREEN,39.820308685302734,256,288,320,352,288,320,64
73,GREEN,6.01088809967041,256,176,320,240,288,208,64
73,BLUE,21.315086364746094,240,224,304,288,272,256,64
74,RED,109.1615219116211,176,352,240,416,208,384,64
